iter	Passed	Remaining
669	2354	1159
670	2358	1156
671	2362	1153
672	2367	1150
673	2371	1147
674	2375	1143
675	2379	1140
676	2383	1137
677	2387	1133
678	2391	1130
679	2395	1127
680	2399	1124
681	2403	1120
682	2407	1117
683	2412	1114
684	2416	1111
685	2419	1107
686	2423	1104
687	2427	1100
688	2431	1097
689	2435	1094
690	2438	1090
691	2443	1087
692	2447	1084
693	2450	1080
694	2454	1077
695	2458	1073
696	2463	1070
697	2466	1067
698	2470	1063
699	2474	1060
700	2478	1057
701	2482	1053
702	2486	1050
703	2490	1046
704	2494	1043
705	2498	1040
706	2502	1036
707	2506	1033
708	2510	1030
709	2514	1026
710	2518	1023
711	2522	1020
712	2527	1017
713	2530	1013
714	2534	1010
715	2539	1007
716	2543	1004
717	2548	1000
718	2551	997
719	2555	993
720	2559	990
721	2562	986
722	2566	983
723	2570	979
724	2573	976
725	2577	972
726	2581	969
727	2584	965
728	2588	962
729	2591	958
730	2594	954
731	2598	951
732	2601	947
733	2605	944
734	2608	940
735	2612	937
736	2615	933
737	2619	929
738	2622	926
739	2626	922
740	2630	919
741	2633	915
742	2637	912
743	2640	908
744	2644	905
745	2647	901
746	2651	898
747	2654	894
748	2658	890
749	2662	887
750	2666	884
751	2670	880
752	2673	877
753	2677	873
754	2680	869
755	2684	866
756	2687	862
757	2691	859
758	2694	855
759	2698	852
760	2701	848
761	2705	844
762	2708	841
763	2712	837
764	2715	834
765	2718	830
766	2722	827
767	2726	823
768	2729	819
769	2732	816
770	2736	812
771	2740	809
772	2743	805
773	2747	802
774	2751	798
775	2754	795
776	2758	791
777	2761	787
778	2764	784
779	2768	780
780	2772	777
781	2775	773
782	2778	770
783	2782	766
784	2786	763
785	2789	759
786	2793	756
787	2796	752
788	2800	749
789	2804	745
790	2808	742
791	2812	738
792	2816	735
793	2820	731
794	2824	728
795	2828	724
796	2832	721
797	2835	717
798	2839	714
799	2843	710
800	2846	707
801	2850	703
802	2854	700
803	2857	696
804	2861	693
805	2864	689
806	2868	686
807	2872	682
808	2876	679
809	2880	675
810	2883	672
811	2888	668
812	2891	665
813	2894	661
814	2899	658
815	2903	654
816	2906	651
817	2910	647
818	2913	643
819	2917	640
820	2921	636
821	2925	633
822	2928	629
823	2932	626
824	2935	622
825	2939	619
826	2942	615
827	2946	612
828	2950	608
829	2953	604
830	2957	601
831	2960	597
832	2964	594
833	2968	590
834	2971	587
835	2975	583
836	2979	580
837	2982	576
838	2986	573
839	2990	569
840	2993	565
841	2996	562
842	2999	558
843	3001	554
844	3004	551
845	3007	547
846	3010	543
847	3013	540
848	3016	536
849	3019	532
850	3022	529
851	3025	525
852	3028	521
853	3031	518
854	3033	514
855	3036	510
856	3039	507
857	3042	503
858	3045	499
859	3048	496
860	3052	492
861	3055	489
862	3058	485
863	3061	481
864	3064	478
865	3067	474
866	3070	471
867	3073	467
868	3076	463
869	3079	460
870	3082	456
871	3085	452
872	3088	449
873	3091	445
874	3094	442
875	3097	438
876	3100	434
877	3103	431
878	3106	427
879	3109	424
880	3112	420
881	3115	416
882	3118	413
883	3121	409
884	3125	406
885	3128	402
886	3131	398
887	3134	395
888	3138	391
889	3140	388
890	3143	384
891	3147	381
892	3149	377
893	3152	373
894	3155	370
895	3159	366
896	3161	363
897	3165	359
898	3168	355
899	3171	352
900	3174	348
901	3177	345
902	3180	341
903	3183	338
904	3187	334
905	3190	330
906	3193	327
907	3196	323
908	3199	320
909	3202	316
910	3205	313
911	3209	309
912	3211	306
913	3215	302
914	3218	298
915	3221	295
916	3224	291
917	3227	288
918	3230	284
919	3233	281
920	3237	277
921	3240	274
922	3243	270
923	3246	267
924	3250	263
925	3253	259
926	3256	256
927	3259	252
928	3263	249
929	3266	245
